Country,Happiness score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,IS_HAPPY,Index of institutional trust,Gini coefficient of income,2021,latitude,longitude
Paraguay,5.653,9.448,0.893,65.9,0.8759999999999999,0.027999999999999997,0.882,1,0.138,47.4,7.2059998510000005,-23.442503,-58.44383199999999
Romania,6.14,10.284,0.8320000000000001,67.355,0.845,-0.21899999999999997,0.938,1,0.1,35.1,5.1690001489999995,45.943160999999996,24.96676
Russia,5.477,10.189,0.903,64.703,0.718,-0.111,0.845,0,0.196,34.56,5.010000229,61.52401,105.31875600000001
Rwanda,3.415,7.676,0.552,61.4,0.897,0.061,0.16699999999999998,0,0.9059999999999999,43.71,1.606999993,-1.940278,29.873888
Saudi Arabia,6.494,10.743,0.8909999999999999,66.60300000000001,0.877,-0.149,0.684,1,0.6509999999999999,45.9,7.357999802,23.885942,45.079162
Senegal,5.132000000000001,8.118,0.71,59.802,0.695,-0.046,0.8009999999999999,0,0.355,40.29,3.72300005,14.497401000000002,-14.452361999999999
Singapore,6.377000000000001,11.488,0.915,76.953,0.927,-0.018000000000000002,0.08199999999999999,1,0.8690000000000001,45.2,3.624000072,1.352083,103.819836
Sierra Leone,3.8489999999999998,7.434,0.63,51.651,0.7170000000000001,0.084,0.866,0,0.33799999999999997,34.03,5.333000183,8.460555000000001,-11.779889
El Salvador,6.061,9.054,0.762,66.402,0.888,-0.11,0.688,1,0.239,40.5,5.940000057000001,13.794185,-88.89653
Serbia,6.077999999999999,9.787,0.873,68.6,0.778,0.002,0.835,1,0.221,37.8,11.80700016,44.016521000000004,21.005859
Slovakia,6.331,10.369000000000002,0.9359999999999999,69.20100000000001,0.7659999999999999,-0.124,0.9109999999999999,1,0.195,23.2,6.739999771,48.669026,19.699023999999998
Slovenia,6.461,10.529000000000002,0.948,71.4,0.9490000000000001,-0.10099999999999999,0.8059999999999999,1,0.177,23.4,4.422999859,46.151241,14.995463
Sweden,7.3629999999999995,10.867,0.934,72.7,0.945,0.086,0.237,1,0.451,27,8.661000252000001,60.128161,18.643501
Swaziland,4.308,9.065,0.77,50.833,0.647,-0.185,0.708,0,0.371,51.45,25.75600052,-26.522503000000004,31.465866
Chad,4.355,7.364,0.619,48.478,0.579,0.040999999999999995,0.807,0,0.26899999999999996,43.32,1.881999969,15.454166,18.732207
Togo,4.107,7.362,0.569,54.913999999999994,0.619,0.032,0.772,0,0.212,43.06,4.004000187,8.619543,0.824782
Thailand,5.985,9.805,0.888,67.40100000000001,0.884,0.287,0.895,1,0.354,35.315,1.417999983,15.870032,100.992541
