Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,IS_HAPPY
Panama,Latin America and Caribbean,6.18,0.073,6.3229999999999995,6.0360000000000005,10.35,0.8959999999999999,69.652,0.872,-0.166,0.856,2.43,1.298,0.976,0.667,0.596,0.079,0.053,2.509,1
Uzbekistan,Commonwealth of Independent States,6.178999999999999,0.068,6.312,6.045,8.836,0.9179999999999999,65.255,0.97,0.311,0.515,2.43,0.769,1.0270000000000001,0.528,0.716,0.391,0.271,2.477,1
Chile,Latin America and Caribbean,6.172000000000001,0.046,6.2620000000000005,6.081,10.071,0.882,70.0,0.742,-0.044000000000000004,0.83,2.43,1.2,0.946,0.6779999999999999,0.43799999999999994,0.159,0.07,2.682,1
Poland,Central and Eastern Europe,6.166,0.04,6.245,6.087000000000001,10.382,0.898,69.702,0.841,-0.165,0.735,2.43,1.3090000000000002,0.982,0.6679999999999999,0.5579999999999999,0.08,0.13,2.438,1
Kazakhstan,Commonwealth of Independent States,6.152,0.047,6.242999999999999,6.06,10.155,0.9520000000000001,65.2,0.853,-0.069,0.733,2.43,1.23,1.103,0.527,0.573,0.14300000000000002,0.132,2.4459999999999997,1
Romania,Central and Eastern Europe,6.14,0.057,6.252999999999999,6.027,10.284,0.8320000000000001,67.355,0.845,-0.21899999999999997,0.938,2.43,1.275,0.8320000000000001,0.595,0.564,0.045,0.001,2.83,1
Kuwait,Middle East and North Africa,6.106,0.066,6.235,5.977,10.817,0.843,66.9,0.867,-0.10400000000000001,0.736,2.43,1.4609999999999999,0.857,0.58,0.591,0.12,0.13,2.3680000000000003,1
Serbia,Central and Eastern Europe,6.077999999999999,0.053,6.181,5.974,9.787,0.873,68.6,0.778,0.002,0.835,2.43,1.101,0.924,0.634,0.48200000000000004,0.18899999999999997,0.066,2.682,1
El Salvador,Latin America and Caribbean,6.061,0.065,6.188,5.933,9.054,0.762,66.402,0.888,-0.11,0.688,2.43,0.845,0.675,0.565,0.615,0.11599999999999999,0.16,3.085,1
Mauritius,Sub-Saharan Africa,6.0489999999999995,0.059000000000000004,6.165,5.933,10.008,0.905,66.70100000000001,0.867,-0.054000000000000006,0.789,2.43,1.178,0.996,0.574,0.59,0.153,0.096,2.4619999999999997,1
Latvia,Central and Eastern Europe,6.032,0.036000000000000004,6.103,5.961,10.315,0.927,67.1,0.715,-0.162,0.8,2.43,1.285,1.047,0.5870000000000001,0.405,0.08199999999999999,0.08900000000000001,2.536,1
Colombia,Latin America and Caribbean,6.0120000000000005,0.061,6.132000000000001,5.892,9.557,0.847,68.001,0.8370000000000001,-0.135,0.841,2.43,1.021,0.866,0.615,0.5539999999999999,0.1,0.063,2.7939999999999996,1
Hungary,Central and Eastern Europe,5.992000000000001,0.047,6.085,5.899,10.357999999999999,0.943,68.0,0.755,-0.18600000000000003,0.8759999999999999,2.43,1.301,1.083,0.615,0.45399999999999996,0.067,0.04,2.432,1
Thailand,Southeast Asia,5.985,0.047,6.077000000000001,5.893,9.805,0.888,67.40100000000001,0.884,0.287,0.895,2.43,1.107,0.9570000000000001,0.596,0.611,0.375,0.027999999999999997,2.309,1
Nicaragua,Latin America and Caribbean,5.972,0.083,6.1339999999999995,5.81,8.62,0.8640000000000001,67.657,0.836,0.02,0.664,2.43,0.693,0.904,0.604,0.5529999999999999,0.201,0.17600000000000002,2.841,1
Japan,East Asia,5.94,0.04,6.02,5.861000000000001,10.610999999999999,0.884,75.1,0.7959999999999999,-0.258,0.638,2.43,1.389,0.9490000000000001,0.838,0.504,0.02,0.192,2.048,1
Argentina,Latin America and Caribbean,5.928999999999999,0.055999999999999994,6.04,5.819,9.962,0.898,69.0,0.828,-0.182,0.8340000000000001,2.43,1.162,0.98,0.6459999999999999,0.544,0.069,0.067,2.461,1
Portugal,Western Europe,5.928999999999999,0.055,6.037000000000001,5.821000000000001,10.421,0.879,72.6,0.892,-0.244,0.887,2.43,1.3230000000000002,0.9390000000000001,0.76,0.621,0.028999999999999998,0.033,2.225,1
Honduras,Latin America and Caribbean,5.919,0.08199999999999999,6.081,5.757999999999999,8.648,0.812,67.3,0.857,0.081,0.809,2.43,0.703,0.787,0.593,0.578,0.24100000000000002,0.083,2.9339999999999997,1
